cdmid,child_of,object_type,title,cdmcreated,cdmmodified,format,subject,publisher,doc_type,creator,width,height,source,language,identifier,date,description,coverage,relation,related_to,technique,contributor,tag,notes,audience
64,66,1,What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454] (back),1/16/08,1/16/08,JPG,Milk; Infants; Hygiene; Health;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;,English,mk1e010m002.jpg,1911,"Blank postcard with chart showing infant deaths for one year with spike indicating increased infant mortality in summer months. Caption title: ""When does the spurt come in your city?""",New York. New York City.,verso of mk1e010,mk1e010,Halftone photomechanical prints;,,postcard,,
65,,2,Does Fact-Recording Help Your Baby-Saving?,1/16/08,1/16/08,JPG,Infant Mortality; Milk,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e009,1911,"Blank postcard printed on two sides, promoting use of statistics and ""fact recording"" in maternal and child health education campaign.",,,,,,,,
66,,2,What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454],1/16/08,1/16/08,JPG,Infant mortality; Milk,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e010,1911,"Blank postcard printed on two sides, promoting collection of infant mortality statistics.",,,,,,,,
74,80,1,Seeing New York (4),2/7/08,2/7/08,JPG,Infants; Poetry,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,11,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m004.jpg,[1911],"Two photographs of infants, one malnourished, one healthy, accompanied by table of statistics (""How Facts are Recorded"") drawn from Report of Committee on the Reduction of Infant Mortality, July 1-29, 1911.  Figures include ""number of babies on hand""; ""attendance at milk stations""; ""milk dispensed"" and deaths, among others.  Also includes brief poetic verse entitled ""A Story.""",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,,
75,80,1,Seeing New York (2),2/4/08,2/4/08,JPG,Health & hygiene facilities; Infants; Milk,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m002.jpg,[1911],"Text accompanied by photographs of mothers and children receiving care at New York milk stations; image at bottom left shows infant being weighed by nurse, with caption title ""A community gain -- (10 oz. in one week).""  Other images contrast malnourished infant (wailing) and healthy baby.  Bucolic scene of cows at pasture with caption title: ""Knee-deep in clover -- Safe foster mothers.""",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,,
76,80,1,Seeing New York (3),2/4/08,2/4/08,JPG,Milk; Infants; Mothers,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m003.jpg,[1911],"Text accompanied by inset photo of milk man delivering pail of milk; photograph of mothers, infants and male doctor [?] in education session at milk depot.",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,,
77,80,1,Seeing New York (1),2/4/08,2/4/08,JPG,Infants; Health & welfare; Summer;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,11,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m001.jpg,[1911],"Photograph portrait in medallion of smiling infant with caption title: One of the ""Sights."" Saved by clean milk and mother made wise",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,,
78,80,1,Seeing New York (5),2/4/08,2/4/08,JPG,Children; Mothers; Hygiene; Girls;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m005.jpg,[1911],"Text describing ""Little Mothers Leagues"" accompanied by photograph of girls caring for infant.  Eldest girl offers reprimand: ""Throw away that loly pop!""  Text includes list of meetings places for weekly education sessions in Manhattan, The Bronx, Brooklyn, Queens and Richmond.",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,,
79,80,1,Seeing New York (6),2/4/08,2/4/08,JPG,Milk; Infant mortality; Summer,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,22,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007m006.jpg,[1911],"Summary of goals and list of accomplishments achieved over a year in campaign to reduce infant mortality due to summer diseases, itemized by wards in boroughs of Manhattan and Brooklyn.  Inset illustration of pot-bellied child holding object in upstretched hands.",New York. New York City.,of mk1e007,,Halftone photomechanical prints,Bernadette CARDONA,new,,
80,,2,Seeing New York [Efficient Citizenship No. 460],1/21/08,1/21/08,JPG,Milk; Mothers; Infants,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,11,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e007,[1911],Folded circular (single sheet) describing the educational outreach and well-baby services provided by milk stations in New York City. Includes testimonials and anecdotes from girls enrolled in the Little Mothers' League; also includes statistical record of reduced infant mortality.,,,,Halftone photomechanical prints,,new,,
81,83,1,Should Midsummer Urgency Be Met By Midsummer Appeal? (front),1/23/08,1/23/08,JPG,Milk; Health; Infant mortality; Legislation; Fund raising;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e011m001.jpg,,"Dual print columns with divider down long axis; caption title, left column: ""Asks $10,000 To Aid Babies"", article from the New York Times dated July 28, 1911 re: city appropriations to increase service of milk depots in city; caption title, right column: ""Why Milk Stations Are Worth While"", article from NYPress dated July 23, 1911 re: infant mortality statistics comparing current year to previous year; caption bottom center.",New York. New York City.,front of mk1e011,mk1e011,Halftone photomechanical prints;,Jonathan Frater,,,"Caregivers, health care personnel, parents, lawmakers"
82,83,1,Should Midsummer Urgency Be Met By Midsummer Appeal? (back),1/23/08,1/23/08,JPG,Infants; Health; Milk; Nutrition; Food;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e011m002.jpg,,"Post card; printed on yellow stock, cropped photo pf baby's head in upper left corner; uses a columnar format with three headers: ""Has a mother the right"", ""Has a man the right"", and ""Has a community the right"", each with subject sentences; contact information for New York Milk Committee at center bottom.",New York. New York City.,back of mk1e011,mk1e011,Halftone photomechanical prints;,Jonathan Frater,,,"caregivers, parents, health care personnel"
83,,2,Should Midsummer Urgency Be Met By Midsummer Appeal?,1/23/08,1/23/08,JPG,Infants; Summer; Milk;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e011,[1911],Postcard printed on two sides promoting 1911 fundraising campaign to support increased service from New York City milk stations.,,,,Halftone photomechanical prints,,,,
84,88,1,The Baby And The Budget (front),1/24/08,1/24/08,JPG,Milk; Nutrition; Public affairs organizations; Public service organizations; Administrative agencies;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e012m001.jpg,[1911],"Single page of print; three separate excerpts from publications: ""The Baby and the Budget"" from New York Evening Post, July 24, 1977; ""Why More Doctors, Nurses, and Inspectors Are Needed"" from New York Tribune, July 25, 1911; ""The 'Cops' Spread the News"" from NY Times, July 23, 1911; contact information for the New York Milk Committee Bureau of Municipal Research, center bottom.",New York. New York City.,front of Mk1e012,Mk1e012,Halftone photomechanical prints;,Jonathan Frater,,,"lawmakers, citizens, voters, parents"
85,88,1,The Baby And The Budget (back),1/24/08,1/24/08,JPG,Milk; Milk hygiene; Infants;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e012m002.jpg,[1911],"Post card; cropped photo of baby's head in upper left with Caption title ""Babies' Rights""; divider down long axis of page; three sections of text on left side of page with headers: ""Has a mother the right"", ""Has a man the right"", ""Has a community the right""; contact information for The New York Milk Committee at center, bottom.",New York. New York City.,back mk1e012,,Halftone photomechanical prints;,Jonathan Frater,,,"caregivers, physicians, parents"
86,89,1,Dirt in Loose-Milk Shops (front),1/24/08,1/24/08,JPG,Milk; Food adulteration & inspection;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e013m001.jpg,[1911],"Caption title: ""Dirt in Loose-Milk Shops""; article printed in three column text from ""N.Y. Evening Post"", July 26th, 1911;small tear in upper right page corner; remains of postmark smudge in upper left over title.",New York. New York City.,front of mk1e013,mk1e013,Halftone photomechanical prints;,Jonathan Frater,,1 of 2,"Citizens, caregivers, parents"
87,89,1,Dirt in Loose-Milk Shops (back),1/24/08,1/24/08,JPG,Infants; Milk,The New York Academy of Medicine,Forms (Documents),New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e013m002.jpg,[1911],"Private Mailing Card; right portion blank with divide; Left side, caption title at top: ""Is It Worth The Difference?"", cropped photographs of babies below: ""Sickly Baby"" and ""Healthy baby"";postmark at upper right; cancelled stamp at upp right corner; small tear at upper left corner; contact information for New York Milk Committee at center, bottom.",New York. New York City.,back of mk1e013,mk1e013,Halftone photomechanical prints;,Jonathan Frater,,2 of 2,"physicians, nurses, parents, caregivers"
88,,2,The Baby and the Budget,1/24/08,1/24/08,JPG,Milk hygiene; Infants;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e012,[1911],Postcard printed on two sides advocating use of full budgetary allocation (by New York City Department of Health) for reducing infant mortality during the summer months; also promoting the work of milk stations in preventing infant deaths.,,,,Halftone photomechanical prints,,,,
89,,2,Dirt in Loose Milk Shops,1/24/08,1/24/08,JPG,Milk; Food adulteration & inspection; Infants,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e013,[1911],Post card printed on two sides with reprints of news article (1911) on New York City Department of Health's investigations of bacterial contamination of milk sold in bulk.,,,,Halftone photomechanical prints,,,,
90,94,1,The House with the Blue Front (1),1/28/08,1/28/08,JPG,Milk; Infants; Children; Health & Welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m001.jpg,[1911],"Front of circular printed in blue ink.  Includes photograph of milk station located on Thompson Street, New York City.  NYAM Library stamp dated Sep[tember] 26, 1911.",New York. New York City.,front of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,,
91,94,1,The House with the Blue Front (2),2/7/08,2/7/08,JPG,Milk; Infants; Children; Health & Welfare; Funeral rites & ceremonies,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m002.jpg,[1911],"Text reprinted from article published in the New York Times, Sunday, May 14, 1911.",New York. New York City.,inside face 1 of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,,
92,94,1,The House with the Blue Front (3),3/5/08,3/5/08,JPG,Milk; Education; Children; Mothers; Infants;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m003.jpg,[1911],Text with photograph of mother in tenement apartment receiving instruction on how to prepare milk for infant feeding.  Image shows three woman gathered around kitchen table; young girl holding two small infants in her arms; while woman prepares milk; another woman (in hat) looks on.,New York. New York City.,inside face 2 of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,,
93,94,1,The House with the Blue Front (4),1/29/08,1/29/08,JPG,Milk depots;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e016m004.jpg,[1911],"Address list for Babies' Pure Milk Station (""Blue Front"" houses) accompanied by photograph of mother attending an instructional session.  An infant weighing station is visible in background.  Caption title: ""Consultation Class.""",New York. New York City.,back of mk1e0016,mk1e0016,Halftone photomechanical prints,Bernadette CARDONA,,,
94,,2,The House with the Blue Front,1/28/08,1/28/08,JPG,Milk depots; Infants; Mothers; Education; Milk hygiene; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,15,23,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015,1911,"Circular (one sheet) printed on four sides justifying educational outreach campaign as essential component of infant mortality reduction program.  Maternal education programs were offered by the New York Milk Committee at ""consultation classes"" held at milk stations, as well as in the home (by visiting nurses).",,,,Halftone photomechanical prints,,,,
95,97,1,Who's Afraid... (front),1/29/08,1/29/08,JPG,Milk depots; Infant mortality;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,17,27,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e005m001.jpg,[1911],Text accompanied by two photographs.  Top image shows naked infant standing in doorstoop of tenement building.  Caption title:  Who's Afraid. One of our milk depot babies for whom the heat and congestion have no terrors.  Bottom image shows malnourished infant resting on pillow.  Caption title:  Saved -- Even from this Condition -- by Proper Feeding.,New York. New York City.,front of mk1e005,mk1e005,Halftone photomechanical prints,Bernadette CARDONA,,,
96,97,1,Who's Afraid... (back),2/7/08,2/7/08,JPG,Milk hygiene; Milk depots; Funeral rites & ceremonies,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,17,27,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e005m002.jpg,[1911],"Text accompanied by three photographs.  Top center image shows milk can standing beside market vegetable stand.  Caption title ""Conditions that Kill Babies.""  Bottom left image shows education session in progress at milk station. Caption title:  The Milk Committee at Work <br> One of our mothers' classes.  Bottom right shows nurses dispensing milk at station.  Caption title:  The Milk Committee at Work <br> Pure milk at our Italian depot.",New York. New York City.,back of mk1e005,mk1e005,Halftone photomechanical prints,Bernadette CARDONA,,,
97,,2,Who's Afraid...,1/29/08,1/29/08,JPG,Milk hygiene; Infant mortality;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,17,27,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e005,[1911],Fundraising circular printed on two sides promoting the work of the New York Milk Committee and soliciting donations for milk stations.,,,,Halftone photomechanical prints,,,,
98,100,1,Saving Through Education (1),2/18/08,2/18/08,JPG,Infants; Nutrition; Food; Menus;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015m001.jpg,[1911],"Recommended diet for 18-24 month old babies and for 2-3 year olds. Includes examples of breakfast, lunch and dinner menus. Description of proper diet for infants printed in two columns, by age, ""From 18th to 24th Month"" on left, ""Meat After the Second Year"" on right; each column includes nutrition recommendations for caretakers from publishers; bibliographic references to ""Efficient Citizenship No. 453"" at top, which gives nutrition information to infants 12-18 months; caption ""August Days Need Not be Fatal"" at bottom; contact information for New York Milk Committee at bottom.",New York. New York City.,front of mk1e015,mk1e015,Halftone photomechanical prints,Bernadette CARDONA,,,
99,100,1,Saving Through Education (2),2/18/08,2/18/08,JPG,Infants; Poetry;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,,,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015m002.jpg,[1911],"Postcard with two thumbnail photos (one of gaunt, unhappy baby; one of plump, happy baby). Includes brief poetic verse entitled ""A Story.""  Contact information for New York Milk Committee at bottom.",New York. New York City.,back of mk1e015,mk1e015,Halftone photomechanical prints,Bernadette CARDONA,,,
100,,2,Saving Through Education,2/12/08,2/12/08,JPG,Infants; Nutrition; Food; Menus,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e015,[1911],Postcard printed on sides promoting healthy diet for infants and children aged 18 months to three years.,,,,Halftone photomechanical prints,,,,
102,104,1,How Many Babies Did Die? (2),2/11/08,2/11/08,JPG,Child rearing; Children's clothing & dress;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,14,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e014m002.jpg,[1911],"Postcard; Caption title: ""Comfort vs. looks : is your baby happy in hot weather? if not--you're to blame""; drawings of happy undressed baby and unhappy dresssed baby; instructions on how to dress baby for warm weather; caption at bottom: ""From Chicago Health Bulletin""; caption: ""New York Milk Committee"".",New York. New York City.,back of mk1e014,mk1e014,Line photoengravings;,Jonathan Frater,,,
103,104,1,How Many Babies Did Die? (1),2/11/08,2/11/08,JPG,Infant mortality; Nutrition; Stats; Milk; Milk hygiene;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e014m001.jpg,[1911],"Caption title; statistical analysis of cities of varying sizes and infant mortality rates; cities are organized by mortality statistics; Montclair, N.J. is used as the basis for comparison; contact information for New York Milk Committee at bottom.",New York. New York City.,front of mk1e014,mk1e014,,Jonathan Frater,,,"parents, physicians, politicians, city planners"
104,,2,How Many Babies Did Die?,2/11/08,2/11/08,JPG,Infant mortality; Milk; Children's clothing & dress,The New York Academy of Medicine,Postcards,New York Milk Committee.,14,18,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e014,[1911],Postcard printed on two sides providing instructions on infant care during the summer months and presenting mortality statistics for infants deaths related to impure milk supply,,,,Line photoengravings,,,,
105,,0,Are Clean Milk Producers Benefited?,2/11/08,2/11/08,JPG,Milk hygiene; Dairying;,The New York Academy of Medicine,Leaflets,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e004m001.jpg,[191-],"Leaflet presenting grading system for milk quality; center has design in newsprint style with excerpt from ""The Milk Reporter""; caption: ""New York Milk Committee"" at center bottom.",New York. New York City.,,,,Jonathan Frater,,,
106,110,1,If You Knew (1),2/12/08,2/12/08,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m001.jpg,[1911],Front section of fundraising form asking for support of the New York Milk Committee's work. One healthy baby photograph in medallion and one photograph ofa weighing station and doctor advising mothers.,New York. New York City.,outside face 1 of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,,
107,110,1,If You Knew (2),2/12/08,2/12/08,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m002.jpg,[1911],"Inside left face of fundraising form describing the work of the Milk Committee with photograph of a healthy, plump baby.",New York. New York City.,inside face 1 of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,,
108,110,1,If You Knew (3),2/12/08,2/12/08,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m003.jpg,[1911],"Pledge form on the right inside face of the circular stating that the cost of a trained nurse is $900, the annual cost per infant is $35, and the cost of a depot feeding 75 babies daily is $2500.",New York. New York City.,inside face 2 of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,,
109,110,1,If You Knew (4),2/12/08,2/12/08,JPG,Milk hygiene; Infant mortality; Fund raising;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006m004.jpg,[1911],Back face of the fundraising circular relating a success story told by a visiting nurse.,New York. New York City.,back of mk1e006,mk1e006,Halftone photomechanical prints,Bernadette CARDONA,,,
110,,2,If You Knew,2/11/08,2/11/08,JPG,Milk hygiene; Infant mortality; Fund raising,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e006,[1911],Fund raising circular promoting the Milk Committee's work and asking for support.,,,,,,,,
111,115,1,Special Bulletin (1),2/12/08,2/12/08,JPG,Infant mortality; Stats; Cities & towns;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e045m001.jpg,1916,"Errata to previously published reports of the New York Milk Committee. Includes table of corrected infant mortality data for  the cities of Indianapolis, Passaic, and Perth Amboy between 1906 and 1916.",New York. New York City.,Front of mk1e045,mk1e045,,Bernadette CARDONA,,,
112,115,1,Special Bulletin (2),2/12/08,2/12/08,JPG,Infant mortality; Stats; Cities & towns;,The New York Academy of Medicine,,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,21,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e045m002.jpg,1916,"Back of the errata report issued by the New York Milk Committee in 1916. Includes quotes from the Health Officers of the cities of Indianapolis, Passaic, and Perth Amboy correcting past errors.",New York. New York City.,back of mk1e045,mk1e045,,Bernadette CARDONA,,,
115,,2,Special Bulletin,2/11/08,2/11/08,JPG,Infant mortality; Stats; Cities & towns,The New York Academy of Medicine,Circulars,New York Milk Committee.,16,21,,English,mk1e045,1916,"Errata for published reports of infant mortality in the cities of Indianapolis, Passaic, and Perth Amboy.",,,,,,,,
116,119,1,Accomplishments (1),2/12/08,2/12/08,JPG,Progress; Infants,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e046m001.jpg,[1912],Front page of brochure providing progress report on the work the New York Milk Committee from January to July of 1912.  Illustrated with photo montage of infants.,New York. New York City.,front of mk1e046,mk1e046,Halftone photomechanical prints,Constance Malpas,,,
117,119,1,Accomplishments (2),2/12/08,2/12/08,JPG,Education; Health & welfare; Infants; Milk hygiene; Dairy products industry; Public service organizations;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,20,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e046m002.jpg,[1912],Text details achievements of New York Milk Committee in 1911.,New York. New York City.,inside faces of mk1e046,mk1e046,,Constance Malpas,,,
118,119,1,Accomplishments (3),2/12/08,2/12/08,JPG,Milk; Standardization;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e046m003.jpg,[1912],Back of brochure detailing accomplishments of the New York Milk Committee in 1912.  Text describes public education campaign using report prepared by commission of experts convened by the Milk Committee and distributed nationwide by the U.S. government.,New York. New York City.,back of mk1e046,mk1e046,,Constance Malpas,,,
119,,2,Accomplishments,2/12/08,2/12/08,JPG,Progress; Milk; Standardization; Education; Infants; Mothers; Health & welfare,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,10,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,nk1e046,[1912],A progress reports issued by the New York Milk Committee detailing accomplishments achieved in the first six months of 1912. Four page brochure printed on one sheet.,,,,Halftone photomechanical prints,,,,
120,126,1,While There's Care There's Hope (1),2/18/08,2/18/08,JPG,Infant mortality; Child rearing; Nutrition; Stats; Milk;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,16,9,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e008m001.jpg,[1911],"Postcard; caption title; quote from ""Dr. S. Josephine Baker, Bureau of Child Hygiene""; quote from ""Boston Milk & Baby Association"" dated March, 1911; contact information for New York MIlk Committee, bottom; illustration of baby in left column, inset; divider down center of card; right portion blank; stamp square upper right corner.",New York. New York City.,front of mk1e008,mk1e008,Line photoengravings;,Jonathan Frater,,1 of 2,"caretakers, parents, physicians"
121,126,1,While There's Care There's Hope (2),2/18/08,2/18/08,JPG,Infant mortality; Summer; Nutrition; Weather; Health; Municipal government; Stats;,The New York Academy of Medicine,Postcards,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e008m002.jpg,[1911],"Caption title; quote from N.Y. herald, Aug. 2, 1911: ""Fewer babies Die in July""; quote from New York American, August 2, 1911: ""731 Babies saved in July""; accounts of newspaper articles regarding lowering of infant mortality rate for summer months.",New York. New York City.,back of mk1e008,mk1e008,,Jonathan Frater,,2 of 2,"Parents, physicians"
122,125,1,A 6% Dividend (1),2/18/08,2/18/08,JPG,Infant Mortality; Milk;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,9,16,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e003m001.jpg,[1913],"Leaflet cover; ""A 6% Dividend Paid in 1912""; large print, center of page; purple N.Y. Milk Committee stamp w/address in upper center of page; name written in longhand pencil, upper left: (""Wallace""?)",New York. New York City.,front of mk1e003,mk1e003,,Jonathan Frater,,1 of 3,
123,125,1,A 6% Dividend (2),2/18/08,2/18/08,JPG,Infant mortality; Stats;,The New York Academy of Medicine,Circulars,New York Milk Committee.  Committee for the Reduction of Infant Mortality.,18,32,Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials,English,mk1e003m002.jpg,[1913],"Single page with statistics and graph; right side of page taken up by illustration of mart showing infant mortality statistics from 1904 to 1913, turned on long axis; left side of page consists of ""Infant Death rate"" statistics 1911-1913; contact information for Thomas S. McLane, Treasurer for the New York Milk Committee at bottom.",New York. New York City.,inside faces 1 and 2 of mk1e003,mk1e003,Halftone photomechanical prints,Jonathan Frater,,2 of 3,
