"title","date_created","subject","repository","format","creator","doc_type","width","height","source","language","identifier","date","description","coverage","relation","related_to","technique","contributors","tag","text","notes","audience"
"Milk and Human Kindness (front)","2004-03-04","Milk; Infants; Economic aspects of war; Consumer rationing","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,21,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e044m001.jpg",1916,"Caption title, top; hand drawn illustration of baby drinking milk from a bottle; illustration caption: courtesy N.Y. Evening Journal; contact information for New York Milk Committe and members at bottom.","New York. New York City.","front of mk1e044"," mk1e044.jpg","Halftone photomechanical prints;","Jonathan Frater",,"Text of interior leaves reads:<br>""HELP FEED THE BOYS<br> ""OVER THERE!<br><br> It's up to YOU and ME and the rest of US to substitute<br> MILK  CREAM<br> BUTTER<br> CHEESE  DRY MILK<br><br> FOR THOSE FOODS SO NECESSARY FOR THE PHYSICAL UPKEEP<br> OF THE FIGHTING MEN AT THE FRONT<br> AND THOSE OF OUR ALLIES""<br><br> You are not asked to make a sacrifice but merely to <br>use more abundantly a food that is more beneficial to your well-being than any other.<br>Milk and milk products are not only the most<br> NOURISHING but the CHEAPEST food on the <br> market to-day.<br><br> Milk is a substitute for other foods. No other food<br> is a substitute for milk.<br><br> Use whole milk. Use skimmed milk. Use butter-<br>milk.  Use every form of good, clean milk.<br><br> In one quart of mik there is as much energy as is <br> contained in three-quarters of a pound of meat.<br><br> The Women of the Nation have it in their power to<br> spread the absolute need of Food Conservation to the end <br> that we can spare not only imperishable foods for the<br> men in the battle line but also boost milk consumption<br> at home to what it was in pre-war times, thereby saving <br>the coming race from physical deterioration.<br><br> Remember, milk is the CHEAPEST food there is,<br> and it has increased LESS in price than any other food.<br><br> [second page] Reasons Why the Consumption of Milk <br> Should be Increased <br><br> From the United States Department of Agriculture<br><br>Milk at......Is as Cheap as Sirloin Steak at......Or Eggs at<br> 10 cents a quart....23.3 cents a pound....25.1 cents a dozen<br>12 cents a quart....27.9 cents a pound....30.2 cents a dozen<br> 15 cents a quart....34.9 cents a pound....37.7 cents a dozen<br><br> AN AUTHORITY <br><br> Professor E. V. McCollum, of Johns Hopkins Uni-<br>versity, says discoveries of the past three years show that <br> there are existing in milk and some other foods two un-<br>known substances which stimulate growth. One of these <br> is found in the fat and the other is found in the water or <br> solution. Their chemical charcter is unknown and they<br> have never been separated from the food materials with <br> which they are associated. Professor McCollum has <br> pointed out that the seeds of plants are good food so far<br> as they go, but they are deficient in these growth-<br>promoting substances, which are found chiefly in the <br>leaves of  all trees and plants. They are found in such<br> leaves as cabbage, lettuce,spinach and cauliflower and <br> above all in milk.Concerning milk and milk products, <br> he says it is not generally appreciated that these articles<br> have a dietary value greater than can be expressed <br> by their protein and energy contents. In experiments <br> on rats, Professors Osborne, Mendel and McCollum have <br> shown that the feeding of butter fat and of milk promotes <br>growth in a remarkable way for the reason that the vita-<br> mines or growth-promoting substances are present in milk <br> in an abundance and in a form which is readily available, <br> as in non other of our common foods.","Document not scanned in entirety due to fragility.",
"Milk: Its Value to the Home   [fold-out] (1)","2004-01-13","Milk; Nutrition;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",19,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e043m001.jpg",1911,"Pamphlet cover; single photo of young girl eating at a table; garden as background; caption benetah photo; NYAM stamp in red; New York Milk Comiite contact information at bottom.","New York. New York City.","front of mk1e043"," mk1e043.jpg","Halftone photomechanical prints;","Jonathan Frater",,,"Image 1 of 2",
"Milk: Its Value to the Home   [fold-out]  (2)","2004-01-13","Milk; Nutrition;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",9,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials;","English","mk1e043m002.jpg",1911,"Reverse of photo side; single column print; lists members of Milk Committee's Standing Committee on Milk Consumers; lists additional publications by same.","New York. New York City.","back of mk1e043"," mk1e043.jpg","Halftone photomechanical prints;","Jonathan Frater",,,"Image 2 of 2.  Document not scanned in its entirety due to fragility of paper.",
"Milk:  Its Value to the Home (fold-out)","2004-01-13","Milk; Infants; Nutrition","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",9,17,"Printed Ephemera of the New York Milk Committee.; Educational Materials","English","mk1e043",1911,"Eight page leaflet (one sheet fold-out) promoting milk consumption and providing guidelines for its storage and handling in the home.",,,,,,,,"Document not scanned in its entirety due to fragility of paper.",
"Milk and Human Kindness","2004-03-04","Infants; Milk;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",16,21,"Printed Ephemera of the New York Milk Committee.; Educational Materials","English","mk1e044",1916,"Leaflet (single folded sheet) promoting increased consumption of milk and other dairy products, and substitution of dairy products ""for those foods so necessary for the physical upkeep of the fighting men at the front...""",,,,,,,,"Document not scanned in its entirety due to fragility of paper.  Missing images of interior pages.",
"What Milk to Buy","2004-01-13","Milk; Infants; Children; Nutrition","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",10,16,"Printed Ephemera of the New York Milk Committee.; Educational Materials","English","mk1e042",1911,"Educational circular instructing consumers on how to purchase, store and modify milk for infant feeding.  Single folded sheet.",,,,"Halftone photomechanical prints",,,,,
"Does Fact-Recording Help Your Baby-Saving? (front)","2004-01-15","Milk; Infants; Stats;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards;",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;","English","mk1e009m001.jpg",1911,"Report (for week ending July 29, 1911) providing statistical measures of infant milk stations' success in lowering infant mortality in New York City.  ""Facts given for babies under 2 years.""","New York. New York City.","face of mk1e009"," mk1e009.jpg",,,"postcard",,,
"Does Fact-Recording Help Your Baby-Saving? (back)","2004-01-15","Milk; Infants; Hygiene; Health;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards;",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;","English","mk1e009m002.jpg",1911,"Blank postcard promoting the achievements of the New York Milk Committee in combatting infant mortality in the summer months. Includes chart of ""baby deaths for one year"" showing seasonal change in mortality rates.  Caption title: ""When does the spurt come in your city?""","New York. New York City.","verso of mk1e009"," mk1e009.jpg","Halftone photomechanical prints;",,"postcard",,,
"What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454] (front)","2004-02-03","Infant mortality; Milk; Summer;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards;",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;","English","mk1e010m001.jpg",1911,"Postcard promoting the efforts of the New York Milk Committee and other agencies in combatting infants deaths due to impure milk.  Includes statistics on ""deaths reported July 1-15, 1911"" in thirteen American cities including Toledo, Detroit, Baltimore and New York City.  Also includes clipping reproduced from the N.Y. American, July 23 [1911].","New York. New York City.","face of mk1e010"," mk1e010.jpg",,,"postcard",,,
"What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454] (back)","2004-01-15","Milk; Infants; Hygiene; Health;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials;","English","mk1e010m002.jpg",1911,"Blank postcard with chart showing infant deaths for one year with spike indicating increased infant mortality in summer months. Caption title: ""When does the spurt come in your city?""","New York. New York City.","verso of mk1e010"," mk1e010.jpg","Halftone photomechanical prints;",,"postcard",,,
"Does Fact-Recording Help Your Baby-Saving?","2004-01-15","Infant Mortality; Milk","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e009",1911,"Blank postcard printed on two sides, promoting use of statistics and ""fact recording"" in maternal and child health education campaign.",,,,,,,,,
"What Happened in .... During the Hot Spell? [Efficient Citizenship No. 454]","2004-01-15","Infant mortality; Milk","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e010",1911,"Blank postcard printed on two sides, promoting collection of infant mortality statistics.",,,,,,,,,
"Seeing New York (4)","2004-02-06","Infants; Poetry","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",11,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007m004.jpg","[1911]","Two photographs of infants, one malnourished, one healthy, accompanied by table of statistics (""How Facts are Recorded"") drawn from Report of Committee on the Reduction of Infant Mortality, July 1-29, 1911.  Figures include ""number of babies on hand""; ""attendance at milk stations""; ""milk dispensed"" and deaths, among others.  Also includes brief poetic verse entitled ""A Story.""","New York. New York City.","of mk1e007",,"Halftone photomechanical prints","Bernadette CARDONA","new","A STORY <br>   A story I'm showing <br>  Of mother not know- <br>   ing <br>  And now my story's <br>  begun <br><br>  I'll tell you another <br>  Of lessons to mother <br>  And now my story <br>  is done <br><br>  HOW FACTS ARE RECORDED <br>  Report of Committee on the Reduction of Infant Mortality, July 1-29, 1911 <br>   Babies on hand June 30th... 2003<br>      New babies received...1,620 <br>   Cases terminated...525 <br>    Died...20 <br> Gastro-intestinal diseases...14 <br> Babies on hand July 19th...3,098 <br> Attendance at milk stations...13,518 <br> Mothers instructed first time...2,232 <br> New requests for material relief...127 <br> Milk dispensed (quarts)...54,322 <br> Physicians' consultations...238 <br>",,
"Seeing New York (2)","2004-02-03","Health & hygiene facilities; Infants; Milk","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",22,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007m002.jpg","[1911]","Text accompanied by photographs of mothers and children receiving care at New York milk stations; image at bottom left shows infant being weighed by nurse, with caption title ""A community gain -- (10 oz. in one week).""  Other images contrast malnourished infant (wailing) and healthy baby.  Bucolic scene of cows at pasture with caption title: ""Knee-deep in clover -- Safe foster mothers.""","New York. New York City.","of mk1e007",,"Halftone photomechanical prints","Bernadette CARDONA","new","WHAT ONE SEES ON TOUR<br> <br>   Stop in at one of the 80 ""life saving"" stations, where clean, safe milk and <br>  instruction are put within the reach of tenement mothers. This year an Association <br>  of Infant Milk Stations has been organized to weld together for greater effectiveness<br>   the work of many agencies which have worked independently heretofore.<br>  The agencies represented are the Health Department, New York Milk Committee,<br>  Nurses'Settlement, Diet Kitchen Association, Nathan Straus Depots, Babies'<br>  Dairies, Morningside Milk Dispensary, Brooklyn Children's Aid Society.<br><br>  A COMMUNITY GAIN-(10 oz. in one week)<br><br>  Each little customer is weighed weekly, and his diet changed accordingly.<br>  Mothers vie with each other to make their babies win this gaining game.<br><br>  Ordinary store milk. Millions of   bacteria per c.c.-Sickly baby <br><br>  Pure milk. Less than 10,000 bacteria per c.c.- Healthy baby <br><br>  Tenement mothers soon give up the ""loose"" milk habit when shown the <br>  difference in results.<br><br>  KNEE-DEEP IN CLOVER-SAFE FOSTER-MOTHERS <br>  Milk depot milk is either tuberculin tested, certified or pasteurized <br><br>",,
"Seeing New York (3)","2004-02-03","Milk; Infants; Mothers","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",22,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007m003.jpg","[1911]","Text accompanied by inset photo of milk man delivering pail of milk; photograph of mothers, infants and male doctor [?] in education session at milk depot.","New York. New York City.","of mk1e007",,"Halftone photomechanical prints","Bernadette CARDONA","new","MILK DEPOT <br>  MILK MAN <br>  Clean Hands, Clean Clothes, Clean Pail<br.<br>   One sure way of saving babies<br><br>  THE 'COPS' HELP TOO <br><br>  Commissioner Waldo has informed the police in the vicinity of the city's<br>   distributing milk stations about their purposes, and has bidden them aid in spreading <br>  the knowledge among mothers in congested districts. This is a proper police<br>  funtion. Its development will be watched and encouraged.- N Y. Times<br><br>[photograph]<br>  WHEN MOTHER GOES TO SCHOOL <br><br>  Clean milk and education go hand in hand. Mothers are encouraged to <br>  come to the depot before baby is sick, that he may be kept, not only alive, but<br>   well.<br><br>  Does Your City<br>  Enlighten Mothers?<br><br>  Chicago's weekly bulletin pub-<br>lished by the health deparment<br>   is a conspicuous example of a <br>  community which is getting ""under<br>   the load"" through the only<br>  agency which can reach 100%<br>  of Chicago's babies<br><br>  New York's health bulletins are given out from headquarters, 56th Street<br>  and Sixth Avenue<br><br>   Watch the newspapers for reports, interviews and warnings to mothers<br><br> [photograph]<br>  APPLIED HYGIENE <br>  Milk depot nurses go straight into the homes to make sure milk depot<br>   precepts of cleanliness, care and watchfulness are carried out <br>",,
"Seeing New York (1)","2004-02-03","Infants; Health & welfare; Summer;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",11,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007m001.jpg","[1911]","Photograph portrait in medallion of smiling infant with caption title: One of the ""Sights."" Saved by clean milk and mother made wise","New York. New York City.","of mk1e007",,"Halftone photomechanical prints","Bernadette CARDONA","new","[To the 3500 students attending the summer schools at Columbia <br>  University and New York University, this bulletin is addressed, with   the belief that no subject is more worthy of thie interest and study   than New York's efforts to reduce preventable infant deaths.<br><br>""SEEING NEW YORK""<br><br>  Of course you've ""seen"" New <br>  York. You've explored the   shops, dipped into Chinatown,<br>  dined at ""Little Hungary,"" gone   through the new library, topped   the Singer tower, visited the <br>  Hall of Fame, Grant's tomb, Ellis Island, and ""millionaire's   row.<br><br>  But we venture to claim that no one of the ""sights""<br>  is more remarkable than the spectacle presented this summer,<br>  of public and private agencies banding together to prove   that babies need not die just because the weather is hot.<br><br>  You're naturally curious to see what sort of infant   citizen is being safely steered through the colicky stormy   stages of tenement babyhood up to the serene times when   he will come under your jurisdiction.<br>",,
"Seeing New York (5)","2004-02-03","Children; Mothers; Hygiene; Girls;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",22,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007m005.jpg","[1911]","Text describing ""Little Mothers Leagues"" accompanied by photograph of girls caring for infant.  Eldest girl offers reprimand: ""Throw away that loly pop!""  Text includes list of meetings places for weekly education sessions in Manhattan, The Bronx, Brooklyn, Queens and Richmond.","New York. New York City.","of mk1e007",,"Halftone photomechanical prints","Bernadette CARDONA","new","THROW AWAY THAT LOLY POP!<br><br>  Are You Teaching 'Little Mothers'?<br>  Did you ever think that lessons in hygiene to little girls would save baby lives?<br>  New York City's health department has organized 239 little mother's leagues in 162<br>  schools where little girls from 12-14 take care of youonger sisters and brothers.<br>  Weekly meetings are held, with lectures by board of health doctors.<br>  If you have time step in<br>   PRESENT LIST OF MEETING PLACES:<br>  Manhattan:[...]<br>  The Bronx:[...]<br>  Brooklyn:[...]<br>  Queens:[...]<br>  Richmond:[...]<br><br>  IF A LITTLE MOTHER STOPS YOU <br>  LISTEN TO WHAT SHE SAYS:<br>  (Extracts from Little Mothers' Essays)<br><br>  What I Did for the Little Mother's League <br>  The lady who Lives in the same house as we do, has a baby boy, 9 months<br>   old. Night after night I hear him cry. One day I asked her why he crys so.<br>  She said she did not know. I asked what she feeds him and she said on <br>  groceries milk. I soon know why the baby crys so, it had stomach trouble. I<br>   asked why she doesn't keep the milk on ice and she says she cannot afford it. So <br>  I gave her the address to the milk depot. I told her to tell the person in charge <br>  that she cannot afford to buy ice and they will try to help her.<br>  The day after she went to store and the doctor told her the baby had <br>  stomach trouble. He gave the baby the right milk and a ticket for ice. Since that <br>  very day the baby drinks the milk, he sleeps during the night as if there were no <br>  baby. She thanked me very much and said I have saved a child from suffering <br>  pain and a mother from becoming ill, because when people do not sleep at night <br>  they usually become sick<br><br>   What I Have Done for the Mother's League <br>  One day as I was walking in the street I saw a baby in a carriage fast asleep <br>  with a nipple and an empty bottle in its mouth. So I saw the mother from the <br>  child and I told her nipples is a real death for a child. When the baby is having<br>   its sleep, the nipple should be in a glass of borax water ready for its meal. The <br>  mother from that child thanked me very much <br><br>  Another Testimony <br>  One day I walked in the street and I saw a woman giving a baby a loly-pop<br>   which had been sucked some time by her elder son. I went over and told her that<br>   loly-pops or any such food was the same as giving the child some poison. She <br>  asked me how I know and I told her I had learned it at the Little Mother's <br>  League. She took the subject under consideration and threw the loly-pop <br>  away.<br><br>  How I Helped the Mother's League<br>   My little sister does not feel well I said to mother: ""Mama, baby has diaria <br>  or loose bowels. Stop all milk, solid food, give her a dose of castor oil,<br>  and then take her to the doctor. My mother tried castor oil, by nothing helped.<br>  She went to the doctor, I went along to see what he would say, and what do you<br>   think he said, exactly what I did and added something new to it.<br><br>  How I Was a 'Little Mother' <br>  One day when I was on the pier with my little brother, a man who took care <br>  of a baby gave it a bottle of coffee. I saw the bottle was dirty and told him the<br>   baby would get sick. He said to me "" Mind your business."" I said I belong to <br>  the Little Mothers' League and know how to take care of babies. The next time <br>  I saw the baby sleeping with a loly-pop in his mouth, the flies were flying on it,<br>  but my little brother was covered with a veil and I fanned him. The next week I<br>   saw the baby and he looked sick. I told the father to go to the doctor. Now he <br>  took my advice and when he came back he said the baby had summer complaint,<br>  but in three weeks the baby was well again. I think the father will never again <br>  give the baby those things.<br><br>  The Care of a Baby for One Day <br>  It is half past six and my little brown eyed Dorothy has awaked, and the <br>  first thing I must do is to give her a nice cool bath, and my! how little Dorothy <br>  can kick, Now I will put on her soft clean clothes. My little Dorothy then must <br>  be fed on barley and milk. I will take her to the recreation pier, how the baby is <br>  enjoying it! She seems to be hungry, come we will go home, eat and come back <br>  again. When I got home I undressed baby and gave her another bath the I fed <br>  her again and she went asleep. When she awoke up I took her for a walk   through the park. It was getting toward evening and the sun was going down <br>  so I walked home with baby slowly <br><br>",,
"Seeing New York (6)","2004-02-03","Milk; Infant mortality; Summer","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",22,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007m006.jpg","[1911]","Summary of goals and list of accomplishments achieved over a year in campaign to reduce infant mortality due to summer diseases, itemized by wards in boroughs of Manhattan and Brooklyn.  Inset illustration of pot-bellied child holding object in upstretched hands.","New York. New York City.","of mk1e007",,"Halftone photomechanical prints","Bernadette CARDONA","new","IS A BABY SAVING CAMPAIGN<BR> WORTH WHILE? <br><br> 1. From January 1st, and through July 29, this year, 888 fewer babies, under 1 year<br>died than for the same period in 1910<br><br> 2. During the hot spell, July 1-15,<br> the deaths from diarrhoeal diseases de-<br>creased from 576 in 1910 to 270 in 1911.<br> For the two weeks ending July 29, there <br> was a continued decrease of 322 deaths<br>from this cause from 1910<br><br>3. For three of the city's most congest-<br>ed districts, where milk depots were<br>located, the mortality for 1910 and 1911<br>is as follows:<br> 14th Ward...76[1910]...11[1911]<br>17th Ward...43[1910]...20[1911]<br>26th Ward...43[1910]...11[1911]<br><br> 4. In 5 wards in Manhattan and 9 <br>wards in Brooklyn, where there are no <br>stations, infant deaths were reduced only<br> 14% and 2% respectively during May and <br>June, compared with 1910. The wards<br> in both boroughs, which had milk stations<br> showed a reduction of 43% for the same<br> two months.<br><br> 5. Before the summer is over, the <br>life savers hope to cut last summer's loss <br> by 2000 babies- Commissioner Lederle's<br> estimate and goal",,
"Seeing New York [Efficient Citizenship No. 460]","2004-01-20","Milk; Mothers; Infants","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",11,21,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e007","[1911]","Folded circular (single sheet) describing the educational outreach and well-baby services provided by milk stations in New York City. Includes testimonials and anecdotes from girls enrolled in the Little Mothers' League; also includes statistical record of reduced infant mortality.",,,,"Halftone photomechanical prints",,"new",,,
"Should Midsummer Urgency Be Met By Midsummer Appeal? (front)","2004-01-22","Milk; Health; Infant mortality; Legislation; Fund raising;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e011m001.jpg",,"Dual print columns with divider down long axis; caption title, left column: ""Asks $10,000 To Aid Babies"", article from the New York Times dated July 28, 1911 re: city appropriations to increase service of milk depots in city; caption title, right column: ""Why Milk Stations Are Worth While"", article from NYPress dated July 23, 1911 re: infant mortality statistics comparing current year to previous year; caption bottom center.","New York. New York City.","front of mk1e011"," mk1e011.jpg","Halftone photomechanical prints;","Jonathan Frater",,,,"Caregivers, health care personnel, parents, lawmakers"
"Should Midsummer Urgency Be Met By Midsummer Appeal? (back)","2004-01-22","Infants; Health; Milk; Nutrition; Food;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e011m002.jpg",,"Post card; printed on yellow stock, cropped photo pf baby's head in upper left corner; uses a columnar format with three headers: ""Has a mother the right"", ""Has a man the right"", and ""Has a community the right"", each with subject sentences; contact information for New York Milk Committee at center bottom.","New York. New York City.","back of mk1e011"," mk1e011.jpg","Halftone photomechanical prints;","Jonathan Frater",,,,"caregivers, parents, health care personnel"
"Should Midsummer Urgency Be Met By Midsummer Appeal?","2004-01-22","Infants; Summer; Milk;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e011","[1911]","Postcard printed on two sides promoting 1911 fundraising campaign to support increased service from New York City milk stations.",,,,"Halftone photomechanical prints",,,,,
"The Baby And The Budget (front)","2004-01-23","Milk; Nutrition; Public affairs organizations; Public service organizations; Administrative agencies;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",14,18,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e012m001.jpg","[1911]","Single page of print; three separate excerpts from publications: ""The Baby and the Budget"" from New York Evening Post, July 24, 1977; ""Why More Doctors, Nurses, and Inspectors Are Needed"" from New York Tribune, July 25, 1911; ""The 'Cops' Spread the News"" from NY Times, July 23, 1911; contact information for the New York Milk Committee Bureau of Municipal Research, center bottom.","New York. New York City.","front of Mk1e012"," Mk1e012.jpg","Halftone photomechanical prints;","Jonathan Frater",,,,"lawmakers, citizens, voters, parents"
"The Baby And The Budget (back)","2004-01-23","Milk; Milk hygiene; Infants;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e012m002.jpg","[1911]","Post card; cropped photo of baby's head in upper left with Caption title ""Babies' Rights""; divider down long axis of page; three sections of text on left side of page with headers: ""Has a mother the right"", ""Has a man the right"", ""Has a community the right""; contact information for The New York Milk Committee at center, bottom.","New York. New York City.","back mk1e012",,"Halftone photomechanical prints;","Jonathan Frater",,,,"caregivers, physicians, parents"
"Dirt in Loose-Milk Shops (front)","2004-01-23","Milk; Food adulteration & inspection;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e013m001.jpg","[1911]","Caption title: ""Dirt in Loose-Milk Shops""; article printed in three column text from ""N.Y. Evening Post"", July 26th, 1911;small tear in upper right page corner; remains of postmark smudge in upper left over title.","New York. New York City.","front of mk1e013"," mk1e013.jpg","Halftone photomechanical prints;","Jonathan Frater",,,"1 of 2","Citizens, caregivers, parents"
"Dirt in Loose-Milk Shops (back)","2004-01-23","Infants; Milk","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Forms (Documents)",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e013m002.jpg","[1911]","Private Mailing Card; right portion blank with divide; Left side, caption title at top: ""Is It Worth The Difference?"", cropped photographs of babies below: ""Sickly Baby"" and ""Healthy baby"";postmark at upper right; cancelled stamp at upp right corner; small tear at upper left corner; contact information for New York Milk Committee at center, bottom.","New York. New York City.","back of mk1e013"," mk1e013.jpg","Halftone photomechanical prints;","Jonathan Frater",,,"2 of 2","physicians, nurses, parents, caregivers"
"The Baby and the Budget","2004-01-23","Milk hygiene; Infants;","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",14,18,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e012","[1911]","Postcard printed on two sides advocating use of full budgetary allocation (by New York City Department of Health) for reducing infant mortality during the summer months; also promoting the work of milk stations in preventing infant deaths.",,,,"Halftone photomechanical prints",,,,,
"Dirt in Loose Milk Shops","2004-01-23","Milk; Food adulteration & inspection; Infants","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Postcards",18,14,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e013","[1911]","Post card printed on two sides with reprints of news article (1911) on New York City Department of Health's investigations of bacterial contamination of milk sold in bulk.",,,,"Halftone photomechanical prints",,,,,
"The House with the Blue Front (1)","2004-01-27","Milk; Infants; Children; Health & Welfare","The New York Academy of Medicine","JPG","New York Milk Committee.  Committee for the Reduction of Infant Mortality.","Circulars",15,23,"Printed Ephemera of the New York Milk Committee.; Fundraising and Publicity Materials","English","mk1e016m001.jpg","[1911]","Front of circular printed in blue ink.  Includes photograph of milk station located on Thompson Street, New York City.  NYAM Library stamp dated Sep[tember] 26, 1911.","New York. New York City.","front of mk1e0016"," mk1e0016.jpg","Halftone photomechanical prints","Bernadette CARDONA",,"""THE HOUSE WITH THE BLUE FRONT""<br><br> BABIES' PURE MILK STATIONS <br><br> A HOUSE WITH A BLUE FRONT ON THOMPSON STREET <br><br> COMMITTEE FOR <br><br> REDUCTION OF INFANT MORTALITY <br><br> OF THE <br><br> NEW YORK MILK COMMITTEE <br><br> 105 EAST 22ND STREET <br><br> NEW YORK CITY",,
