cdmid,child_of,object_type,text,notes,filename
117,119,1,"The New York Milk Committee<br>   has<br>   Prepared and published the Fifth Annual Report of the Committee for 1911, giving the results of a successful two years' experiment to prove that milk equal to certified can be produced by the ordinary farmer from healthy herds and delivered to the consumer in New York at the price usually charged for bottled milk of uncertain quality. <br><br>   Prepared and distributed 2,000 copies of a special report ""Infant Mortality and Milk Stations,"" furnishing a working basis to health officers and civic organizations undertaking the establishment of milk stations and baby-saving campaigns in their cities.   <br><br>   Actively co-operated with the Health Department in bringing about an efficient organization of the work in 55 municipal milk stations established as the result of the campaign in 1911.   <br><br>   Brought about through the co-operation of the Health Department and various social organization interested in baby-saving the formation ofa  Babies'Welfare Association.  This Association represents 150 agencies and has for its object the stadardization of methods and the proper distribution of work so as to eliminate duplication and over-lapping; to serve as a clearing house for information relating to the work of reducing infant mortality.   <br><br>   Provided the Babies' Welfare Association with an Executive Secretary and borne the expense of preparing and printing educational literature for distribution among tenement housing mothers.  Already 300,000 peiceds of literature hve been distributed in the English, Italian and Yiddish languages.  Although our vigorous campaign last year brought about the lowest baby death rate in the history of New York City there is every indication that the good record of last year will be not only maintained but exceeded.   <br><br>   Carried on throught its Committee on Womens' Organizations an active campaign among women's clubs, civic organizations and churches to demand a strict enforcement by the Health Department of the present rules and regulations relating to the production and sale of milk.   <br><br>   Conducted an exhaustive investigation as to the quality of milk served to patrongs of hotels, restaurants, lunch rooms and soda fountains in the business and shopping sections of Manhattan and Brooklyn.  The results of this investigation have been forwarded to the Board of Health and follow-up work already begun to insure a better and more wholesome milk supply to patrons of these places.   <br><br>   Appointed a Special Committe to study the present methods employed by the State to stamp out tuberculosis among cattle, and to formulate plans to obtain a more adequate State cotnrol of this disease.   <br><br>   Prepared comprehensive educational exhibits for the International Congress of Hygiene and Demography and for the New York State Fair.   <br><br>   Completed the first six months of its investigation of deaths for congenital diseases and its experiment to determine the balue of educating expectant mothers as a means of reducing infant mortality from these diseases.  822 mothers have already been educated in the prenatal care of their babies and themselves by a competent staff of nurses and doctors.  The results already obtained indicate that the death rate among babies from congenital disease can be reduced fully 50% and a higher vitality assured to babies if the tenement mothers are given proper instruction in mothercraft.",,118.jpg
118,119,1,"The Commission appointed by the New York Milk Committee in March, 1911, and composed of seventeen milk experts from different parts of the United States completed its first report April, 1912.  The United States Government has pritned 75,000 copies of this reprot which have been distributed to the mayor, health officer and civic organizations in every American municipality.  The Committee feels that this has been one of the most important pieces of work ever performed by a civic organization in that it will seve as a basis for raising the standard of milk suppoy of 20,000,000 babies in the United States.   <br><br>   New York Milk Committee   <br>   105 East 22d Street   <br>   Stephen G. Williams...Chairman<br>   Thomas S. McLane, Treasurer   Paul E. Taylor - Secretary.",,119.jpg
119,,2,,,120.cpd
120,126,1,,1 of 2,121.jpg
121,126,1,,2 of 2,122.jpg
122,125,1,,1 of 3,123.jpg
123,125,1,,2 of 3,124.jpg
124,125,1,,3 of 3,125.jpg
125,,2,,,126.cpd
126,,2,,,127.cpd
127,134,1,,,128.jpg
128,134,1,"PURPOSE.<br>   The New York Milk Committee is a group of private citizens consisting of leading sanitarians, bacteriologists, dietitians, physicians, producers, dealers and philanthropists.  The purpose of the Committee is the improvement of the milk supply for the City of New York, the reduction of infant mortality and the education of the public to the proper use of milk. <br><br>      [Page 2]<br>   ACTIVITIES.<br>   I. Research:  Into the problems arising out of the relation of impure milk to sickness and mal-nutrition. <br><br>   II. Education:  Of the community, by means of leaflets, reports, bulletins, newspaper service, lectures and exhbitions, which show the importance of the problem of providing for an adequate supply of pure milk, and point out the steps so far established.<br><br>   III. Promotion:  By organizing various movements on its own initiative, and by aiding in the furtherance of movements begun by others, which carry forward the cause of a clean milk supply.<br><br>   IV. Legislation:  By initiativng legislation which tends to raise the standards of milk supply; and by a carful watch on all legislation, with a view to preventing (a) the lowering legislative safeguards that now exist, and (b) the defeat of new measures intended to advance the cause of wholesome and clean milk.",,129.jpg
129,134,1,"ACCOMPLISHMENTS.<br><br>   I. Research:<br>   1. It carred on an experiment in infants' milk depots and through doctors and nurses which showed for the first time the relative importance of pure mik and education of mothers in the reduction of infant mortality.<br><br>   2. It made a comparative study of infant moratlity in rich, middle-class and tenement districts, which determined the close relation which prevails between ignorant poverty and a high infant mortality.<br><br>   3.  It made an investigation which determined that a large proportion of tenement families are unable to pay the present consumer's price for pure milk, and that a majority are unable to pay the price for modified milk for their babies.<br><br>   4.  It carried on a campaign of educational work through doctors and nurses which determined that the majority of mothers among the poor are capable of intelligently modifying the milk for their babies at home.<br><br>   5.  It demonstrated that clean milk which shall be cheap, is needed for the reduction of infant mortality rather than expensive modified milk.<br><br>      [page break]   6.  It demonstrated through its own philanthropic and educational milk company that clean milk, equal in its bacteriological count to certified milk, can be produced under established conditions and sold at the average price of milk.<br><br>   7.  It showed, by the inconclusive results obtained by feeding 700 infants in its milk depots on raw and pasteurized milk, the necessity of a thorough scientific experi-ment among infants under constant and complete control.<br><br>   8.  It demonstrated in its milk depts that the distribution of clean mlk, combined with the education of mothers and discriminating relief, furnishes the most economical and efficient means of reduc-ing infant mortality.<br><br>   9.  It made the first comprehensive study of bovine tuberculosis and its methods of control in New York State.  (In co-oper-ation with the New York City Committee on the Prevention of Tuberculosis.)<br><br>   10.  It studied and pointed out serious defects in the methods employed by the Municipal Civil Service Commission in selecting competent country and city milk inspectors.<br><br>",,130.jpg
130,134,1,"II. Education:<br>   1.  It published a report, ""Infants' Milk Depots and Their Relation to Infant Mortality,"" which has been used as a text book.<br>   2.  It published and distributed one thousand copies of a report on Bovine Tuberculosis in New York State, (in co-operation with the New York City Committee on the Prevention of Tuberculosis.)<br>   3.  It originated and conducted public lecture to educate the people to the proper use of milk.<br>   4.  It originated and supervised the preparation of a series of moving-pictures on Milk Production, which have told the story of pure milk to hundreds of thousands of people throughout the United States.<br>   5.  It prepared a permanent exhibit on Milk and Infant Mortality.<br>   6.  It distributed a leaflet written by one of its members outlining a method of sanitary milk production which has been widely adopted.<br>   7. It prepared a leaflet , ""How to Establish and Maintain Infants' Milk Depots.""<br>   8.  It prepared and published a leaflet, ""Milk; Its Value and Care in the Home."" (Thirty-five thousand distributed to the families of milk consumers.)<br>   9.  It established a press service con-cerning milk questions in the five States supplying milk to New York City.<br><br>      [page break]<br>      III. Promotion:<br>   1.It originated, established and main-tained the first infants' mik depots wherein were combined the French idea of classes of instructions by physicians, the services of trained nurses, the distri-bution of pure milk, the giving of discriminating relief, and the collection of reliable social statistics.<br>   2.  It offered for the first time in its own organization, an opportunity for farmers and milk producers to meet with milk dealers, bacteriologists, sanitarians, physicians, child specialists and philan-thropists, in solving the problem of the milk supply.<br>   3.  It organized the first philanthropic and educational milk company--the New York Dairy Demonstration Company--to produce and distribute pure milk at moderate cost to poor peple, and to show what is the cost of producing such milk.<br>   4.  In conjunction with the Health De-partment it called the first important conference on milk ever held in New York City.<br>   5.  It brought about the appointment of Mayor McClellans' Milk Commission.<br>   6.  It suggested and took an active part in organizing the New York Conference on the Care of Babies.<br>   7.  It suggested and took an important part in bringing about the municipal in-<br>   [page break]",,131.jpg
131,134,1,"struction of groups of mothers in the care of milk and feeding of infants in New York City.<br><br>   8. It took an important part in secur-ing the first appropriation from New York City ($40,000) for the establish-ment of nunicipal infants' milk depots.<br><br>   9.  It brought about a conference be-tween milk producers in New York State and milk producers in Massachusetts--the first step in interstate co-operation along milk lines.<br><br>   10. It called a conference of national milk experts which<br>   (a) urged Congress to appoint a joint committee to investigate the milk question;<br>   (b) requested the Milk Committee to appoint a special Commission to formulate national milk stand-ards for the consideration of the Congress and the States;<br>   (c) placed itself definitely on record with regard to many disputed milk matters;<br>   (d) recommended the labeling in New York City of milk safe for babies and young children, and laid down standards for such milk;<br>   (e) took steps toward effecting a national organization for the study and improvement of the milk supply.<br><br>      [page break]<br>      IV. Legislation:<br>   1.  It urged and brought about a law prohibiting the use of rusty and defective milk cans.<br><br>   2.  It urged and took an active part in securing an increased appropriation for the State Department of Agriculture.<br><br>   3.  It supported legislation excluding persons suffering from infectious and contagious diseases from selling or hand-ling milk.<br><br>   4.  It formulated a bill for the regula-tion of bovine tuberculosis which served as the basis for an important amendment to the agricultural law.<br><br>   5.  It urged and brough about the readjustment of the new York State standard of milk.<br><br>   6.  It urged the city to appropriate money for milk inspection carried on by the New York Health Department.<br><br>   7.  It proposed a change in the method of Civil Service examinations for country milk inspectors, and the Secretary of the Committee was appointed Official Ex-aminer for the Civil Service Board.<br>",,132.jpg
132,134,1,"PROGRAM FOR 1911<br> I. Research:<br> 1.  An exhaustive investigation to deter-mine what nutritive difference, if any, exists between raw, pasteurized and boiled milk.<br> 2.  An investigation to determine the character of the New York City milk supply.<br> 3.  The continuation, through the New York Dairy Demonstration Company, of the experiment to determine the lowest poss-ible cost of producing a cheap, clean milk.<br> 4.  The continuation of the study of the problem of reducing infant mortality through milk distribution and the educa-tion of mothers and school girls in baby hygiene.<br> 5.  The study of present legislation gov-erning the milk question, and the codifica-tion of current knowledge on milk matters.<br> 6.  A comprehensive study for the working out of national milk standards and of methods for controlling the milk supply. (Through a special committee of experts appointed at the request of the New York Milk Conference held in December 1910.)<br><br> II. Education:<br> 1.  The conducting of a permanent ex-hibition on Milk and Infant Mortality.<br> 2.  The giving of popular illustrated lectures on milk topics.<br> 3.  The publication and distribution of leaflets on the milk question.<br> 4.  The continuation of a bulletin news service to the press.<br><br> [page break]<br><br> III. Promotion:<br> 1. The extension of the number of milk depots in New York City.<br><br> 2.  The organization of a district plan for financing infants' milk depots and for co-ordinating the work of agencies en-gaged in saving the lives of babies.<br><br> 3. The suggestion and encouragement of a national movement to improve the milk supply.<br><br> IV. Legislation:<br><br> 1.  Urging the adoption and enforce-ment by Congress and the States of milk standards as follows:<br> (a) Chemical Standards;<br> (b) Bacteriological Standards;<br> (c) Standards of Pasteurization, as regards Time and Temperature.<br> (d) Standards of Sanitation, Method and Equipment.<br><br> 2.  The urging of legislation for the more complete control of bovine tuber-culosis.<br><br> 4.  The urging of legislation to require the labeling of milk which is safe for babies.",,133.jpg
133,134,1,"STEPHEN G. WILLIAMS, Chairman<br>   MARSHALL L. WARRIN, Treasurer<br>   WILBUR C. PHILLIPS, Secretary [text blacked out in original]<br><br>      CHARIMEN SUB-COMMITTEES<br><br>   Godfrey R. Pisek, M.D. -- Infant Mortality.<br>   Linsly R. Williams, M.D. -- Medicine.<br>   Mrs. J. Borden Harriman -- Infants' Milk Depots.<br>   Charles E. North, M.D. -- Sanitation, Bateriology and Public Health.<br>   Miss Alice Lakey -- Milk Consumers.<br>   Stephen Francisco -- Milk Producers. <br>   George Slaughter -- Milk Dealers.<br>   Ira S. Wile, M.D. -- Social Relations.<br>   John G. Saxe -- Legislation.<br>   Charles T. Root -- Publicity.<br>   Franklin D. Roosevelt -- Ways and Means.<br><br>      ADVISORY COUNCIL<br><br>   E.H. Bartley, M.D.  A. Jacobi, M.D.<br>   Henry D. Chapin, M.D.  Walter W. Laidlaw<br>   Henry L. Coit, M.D.  Walter W. Law<br>   Henry Ives Cobb  V. Everit Macy<br>   Lewis A. Conner, M.D.  Dewitt J. Seligman<br>   Mrs. Arthur M. Dodge  John Spargo<br>   Haven Emerson, M.D.  Mrs. Henry Villard<br>   George W. Goler, M.D.  Arthur E. Wakemen<br>   Rt. Rev. David H. Greer  George W. Wickersham<br>",,134.jpg
134,,2,,,135.cpd
135,138,1,,,71246181822004_mk1e047m001.jpg
136,138,1,"1911<br>  What We Accomplished<br>  Established 31 Infant Milk Stations.<br>  Took care of 7,919 babies at our Milk Stations.<br>  Educated 12,401 mothers in the care and feeding of their babies.<br>  Distributed 420,452 quarts of clean milk.<br>  Medical examinations given of 27,095 babies.<br>  Conducted a vigorous educational campaign on matters relating to the work of reducing infant mortality.<br>  Brought about the formation of the Infants' Milk Station Association of New York to eliminate duplication and to provide a clearing house for information relating to Milk Station activities. <br>  Helped to reduce the infant death rate of babies under one year<br>  From 1910--125.6 per 1,000 births<br>  To 1911--111.6 per 1,000 births<br>  Prepared a report for the Board of Estimate and Approtionment shoeing the vlaue of Milk Stations as a means of decrasing the infatn death rate--a sufficient appropriation was gratned to establish 55 Municipal Milk Stations in 1912.<br>  Brought to a successful conclusion our two years' demonstration to show that a clean and safe milk can be produced under ordinary farm conditions and sold in New York at a price paid for inferior bottled milk.  The methods used in this demonstration have attracted a nation wide interest among milk experts and health officers.<br>  Our National Commission has completed its study of mik standards and the report is being published by the United States as a government document.  Its wide circulation will do much in influencing legislation for adeqaute milk standards.<br>      [page break]    1912<br>  What We Want to Do<br>  Be prepared to cooperate with the Health De-partment in the development of Municipal Milk Stations until they become health centers for the education of mothers, and are made a basis for official control and supervision of midwives, boarded-out babies and children under school age.<br>  Keep the public informed as to the progress of the work of the Milk Stations, and advocate increasing the number of Stations until all the congested sections of the City are provided for.<br>  Bring about a better coordination of the activi-ties of all the agencies doing infant welfare work.<br>  Continue our active campaing to raise the stand-ard of New York's milk supply.  Investigate and expose fraudulent practices in the milk trade and defeat any attempt to legislate for lower milk standards.<br>  Conduct a nation wide campain to obtain the general adoption of adequate milk standards rec-commended by our National Commission.<br>  Carry on an investigation of congenital dis-eases, and an experiment to determine the value of educating expectant mothers as a means of re-ducing infant mortality from these diseases.<br>  Make available to Health Officers and Civic Organizations throughout the country informa-tion relating to Infatn Milk Station work, and be prepared to extend cooperation wherever re-quested, and share the credit for results accom-plished with all due generosity where it is de-served.<br>  Establish a position of leadership for the com-mittee and make it indispensable in its field.<br>",,60447181822004_mk1e047m002.jpg
137,138,1,,,97447181822004_mk1e047m003.jpg
138,,2,,,136.cpd
140,,2,,,138.cpd
144,,0,,,142.jpg
146,,0,"[in handwritten script:   Project for supplying New York with milk. June 1819] Arrangements for an extensive and permanent establishement under the above title having been made by the subscriber, on the plan of the best establishments ofa similar nature in Great Britain, he takes this method of informing his friends and fellow-citizens that he will be ready to supply them with milk on the first of June next, and at all times after that date, on receiving ten days previous notice.<br> In the mean while he begs leave respectfully to solicit their encouragement of his enterprise on the following conditions and assurances, viz.:<br> 1. That he will serve them with milk delivered in its original purity, uncorrupted by any mixture or adulteration whatsoever.<br> 2. That he will therefore carefully avoid the excessive use too frequently made of the slops of distilleries in feeding the cows, which is well known to impoverish the milk, if not to infect it with unwholesome qualities.<br> 3. That he will spare no pains to preserve and deliver the mik clean; bestowing his personal and careful attention to give it this most important and unusual recommendation.<br> 4. That in distributing the milk by his carriers he will employ such precautions as shall preclude the possibility, either from carelessness or design, of the fraud of deficient measure; which in the usual mode of distribution is so easily and securely practised on the negligence of servants.<br> 5. That the milk shall be served to his customers with the strictest attention to punctuality; at any hour of the day, and in any quantity, that may be desired; -- the situation of his establishment, only two miles from the City Hall, on the Eighth Avenue, affording peculiar facilities for their accommodation in this respect.<br> 6. That his milk, thus pure, clean, correctly measured, and punctually served, shall always be delivered to his customers at the lowest market price.<br> Finally; that having provided buildings for his stables of the most commodious and substantial construction, and large enough to admit of between two and three hundred separate stalls, he will prosecute his design with assiduous fidelity to these conditions and assurances, yielding to no obstables or dificulties it may encounter, so long as the patronage of his friends and the public may encourage his perseverance.  And on these grounds, connected with the obvious public utility of an establishment of this nature, so managed as to deserve and justify the public confidence, he again respectfully solicits their encouragement of his enterprise in the outset.<br> THOMAS WARNER.<br> N.B. Persons wishing to be supplied with milk on the above conditions, are invited to leave their applications, addressed to the subscriber, at the Post-office, specifying where they live, and when, and with what quantity of milk, they would be served.  And if any should wish for a further and more minute explanation of the plan of the proposed establishement, and of the means of carrying it into effect, and will signify that wish as here directed, it shall be promptly attended to.",(resized PShop),144.jpg
